Time Lapsed,Absolute_Acceleration
1619.994,1.428
1620.097,1.429
1620.197,1.428
1670.302,1.428
1670.405,1.428
1670.507,1.428
1670.607,1.428
1670.711,1.428
1670.814,1.428
1670.854,1.428
1670.940,1.429
1671.041,1.428
1671.144,1.428
1671.249,1.429
1671.350,1.428
1671.460,1.428
1671.547,1.429
1671.659,1.428
1671.759,1.429
1671.839,1.427
1671.960,1.427
1672.057,1.428
1672.144,1.428
1672.248,1.429
1672.352,1.429
1672.457,1.429
1672.554,1.428
1672.658,1.428
1672.760,1.428
1672.861,1.429
1672.963,1.428
1673.035,1.428
1673.139,1.427
1673.271,1.427
1673.386,1.429
1673.476,1.429
1673.578,1.428
1673.681,1.429
1673.798,1.429
1673.880,1.428
1673.987,1.428
1674.092,1.428
1674.193,1.428
1674.293,1.427
1674.396,1.428
1674.500,1.429
1674.532,1.428
1674.704,1.429
1674.732,1.429
1674.830,1.429
1674.938,1.429
1675.036,1.428
1675.139,1.427
1675.247,1.428
1675.344,1.428
1675.444,1.428
1675.548,1.428
1675.635,1.429
1675.731,1.429
1675.831,1.428
1675.958,1.429
1676.038,1.427
1676.138,1.429
1676.241,1.428
1676.344,1.428
1676.447,1.429
1676.548,1.429
1676.650,1.428
1676.754,1.428
1676.854,1.429
1676.959,1.427
1677.060,1.428
1677.165,1.428
1677.266,1.429
1677.367,1.429
1677.472,1.428
1677.573,1.429
1677.675,1.428
1677.793,1.429
1677.856,1.428
1678.007,1.429
1678.082,1.428
1678.208,1.429
1678.289,1.428
1678.391,1.428
1678.417,1.429
1678.530,1.428
1678.619,1.429
1678.722,1.428
1678.824,1.428
1678.928,1.429
1679.029,1.427
1679.209,1.429
1679.219,1.429
1679.337,1.429
1679.440,1.428
1679.518,1.429
1679.634,1.429
1679.724,1.428
1679.824,1.428
1679.926,1.429
1680.069,1.428
1680.132,1.427
1730.236,1.428
1730.336,1.429
1730.440,1.428
1730.541,1.428
1730.646,1.429
1730.746,1.428
1730.849,1.429
1730.951,1.429
1731.053,1.429
1731.156,1.427
1731.276,1.429
1731.362,1.427
1731.470,1.428
1731.564,1.429
1731.668,1.428
1731.771,1.428
1731.881,1.429
1731.949,1.429
1732.078,1.429
1732.180,1.428
1732.210,1.429
1732.307,1.429
1732.408,1.428
